patient,file,start_sec,end_sec,label,model,drive,substeps,metric,noise_intensity,value,status,valid_trials,interpretation
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,1,coherence_median,,,no_valid_measurement,,
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,1,snr_mean,0.1,-8.17274320549833,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,coherence_median,,,no_valid_measurement,,
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,snr_mean,2.0,-10.49698300237979,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,1,coherence_median,0.5,1.8406316770857982,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,1,snr_mean,0.0,3.4226136789093218,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,2,coherence_median,0.1,3.5303934866622706,interior_grid_maximum,2.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,2,snr_mean,0.0,3.4206884850213775,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,coherence_median,0.5,1.788701090873217,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,snr_mean,2.0,-4.434166612778191,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,no_external_drive,2,coherence_median,2.0,1.9355042980856254,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,no_external_drive,2,snr_mean,2.0,-8.169034970385505,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,eeg_component,1,coherence_median,2.0,1.1431256865117156,boundary_maximum,1.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,eeg_component,1,snr_mean,0.0,2.881668063935026,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,eeg_component,2,coherence_median,,,no_valid_measurement,,
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,eeg_component,2,snr_mean,0.0,2.879542266657966,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,no_external_drive,1,coherence_median,,,no_valid_measurement,,
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,no_external_drive,1,snr_mean,2.0,-7.6554870417156735,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,no_external_drive,2,coherence_median,,,no_valid_measurement,,
chb08,chb08_21.edf,2140.0,2144.0,1,bistable_driven_regularity,no_external_drive,2,snr_mean,2.0,1.243332080191845,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,eeg_component,1,coherence_median,0.5,1.5804280786889497,interior_grid_maximum,2.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,eeg_component,1,snr_mean,0.0,1.1128940181498743,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,eeg_component,2,coherence_median,2.0,3.281783107996328,boundary_maximum,2.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,eeg_component,2,snr_mean,0.0,1.1116525137413822,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,no_external_drive,1,coherence_median,0.5,1.8329850398991698,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,no_external_drive,1,snr_mean,0.1,-3.2836353608325233,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,no_external_drive,2,coherence_median,0.5,2.7066979605836226,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,2140.0,2144.0,1,fhn_sde,no_external_drive,2,snr_mean,2.0,-3.050756027992725,boundary_maximum,3.0,descriptive only; not a resonance claim
